--Loading Data mm-dd-yyyy.txt
USE [TestDB2];
GO

ALTER TABLE Employee NOCHECK CONSTRAINT ALL;

-- Add Department data
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D22', 22, N'Sales', N'quad gravis et egreddior fecundio, et parte quis plorum et apparens trepicandor parte Sed Versus plurissimum regit,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D28', 63, N'Marketing', N'non quo rarendum cognitio, si manifestum si homo, eudis et habitatio fecundio, manifestum eggredior. quad dolorum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D44', 23, N'Human Resources', N'essit. vobis non egreddior glavans vantis. et funem. fecit. transit. bono Quad quoque et funem. et ut pars volcans quo, in quoque gravis')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D53', 48, N'Customer Service', N'quantare fecit. linguens Sed Longam, estis estis volcans funem. estum. imaginator rarendum volcans travissimantor apparens')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D56', 34, N'IT', N'quo plurissimum volcans gravis e funem. in glavans ut quad plorum travissimantor estum. e gravis quo,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D57', 40, N'Operational', N'et e funem. et delerium. egreddior pars et quad et quantare apparens gravum apparens quad dolorum quantare non')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D6 ', 38, N'Administrative', N'quartu quad ut quad pars fecit. quantare quo, vobis trepicandor nomen non esset Id in quis plurissimum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D75', 49, N'Production', N'quad egreddior manifestum Sed et venit. vobis nomen travissimantor quartu Sed egreddior transit. quad nomen quad')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D89', 29, N'Social', N'et travissimantor quo apparens plorum fecit, ut non Longam, et funem. plurissimum travissimantor quo')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D96', 55, N'TOP SECRET', N'novum nomen Versus Longam, non pladior travissimantor transit. quad dolorum dolorum egreddior in quis quad')
GO

-- Add Employee data
SET IDENTITY_INSERT [dbo].[Employee] ON 
GO
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (1, N'D75', N'Angie', N'Fuller','06-17-2010', N'Q06SSYOAPDT0T9NEZJQJAWIJDM9RS2H2SYCENK8GLUPFZFKO8YHG4',0,'06-07-2015','07-13-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (2, N'D89', N'Keisha', N'Palmer','11-09-2001', N'0UINF6OWHNVQ8VW9REBAXF62KX1LJUK1YJYIV042ROD2J86PSY625UAKOF',1,'06-01-2015','11-27-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (3, N'D75', N'Carey', N'Cline','08-08-1998', N'H43CN2USOXDDR98I923JCQCTKNIW49DUFXNYOBQ0PGISELFSWB1HKWQQRAR0KYNEJJXUMA',0,'07-13-2015','08-11-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (4, N'D57', N'Shari', N'Nielsen','08-29-2015', N'XC3TV8JFZ8PZ',1,'10-09-2015','09-22-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (5, N'D44', N'Faith', N'Stuart','10-02-1998', N'8WAJ7W6DKQGRS39',1,'11-09-2015','10-06-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (6, N'D57', N'Terence', N'Collins','04-20-2014', N'NL6LH45G2UI',0,'09-07-2015','05-02-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (7, N'D96', N'Anne', N'Cook','05-06-2003', N'VSRUYV6N9EMP4GDMN234AKCNIEB4QTGDEYIRYLTXXML9YGH0QIS0QDXAF4B',1,'01-23-2016','05-15-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (8, N'D56', N'Mickey', N'Dyer','07-24-1994', N'K2WFX9B6YLO2957OZ2O2XAD80GM007CT99',1,'11-05-2015','07-29-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (9, N'D96', N'Deanna', N'King','02-26-1994', N'VP5BO5B25UQQL69BCG9M9OOFHNA5Q8VT0SCYTR0WM77DAP1',1,'08-29-2015','03-17-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (10, N'D44', N'Anne', N'Vang','03-08-1999', N'RVZDZM361QU',1,'07-27-2015','04-01-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (11, N'D44', N'Carlos', N'Dickson','02-01-2007', N'V5BWZXQSTAILFC02HA4RMFDV9HTDO5W3WZ1GVAECZ80GDDXML1ORL3EFRGNH3C3NEEOGBK66V',1,'01-27-2016','02-18-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (12, N'D56', N'Hector', N'Chen','02-05-1991', N'RDEXHWK6SNG4HTKMO',0,'06-24-2015','02-09-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (13, N'D6 ', N'Keri', N'Marks','09-22-1998', N'NW9N4C2YOGB1UIVTB10UZRWXKG79XUWOVSJZI382UI74U',0,'06-29-2015','09-24-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (14, N'D56', N'Arturo', N'Buckley','08-30-1997', N'SY9NIILTFWZB3O5S1TJM',1,'01-23-2016','09-10-1997')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (15, N'D96', N'Molly', N'Finley','07-09-2004', N'2YWA7SY0GJS2TO809CD32DNZ70KW2HDK7KP0CCAQMTYC6890XRRG5J3PBX3772X',0,'10-25-2015','07-19-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (16, N'D22', N'Kristie', N'Walton','12-29-1990', N'6',1,'02-19-2016','01-14-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (17, N'D89', N'Alfred', N'Franco','01-10-2016', N'V8Y8OW2NG8EASYQKYAPWEOH0OF92JKWZ6YD11P3VEI3UA044HM3M99U6R',0,'04-25-2015','01-30-2016')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (18, N'D96', N'Ruth', N'Bartlett','04-24-1999', N'J8N03',0,'04-08-2015','05-19-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (19, N'D6 ', N'Luz', N'Moody','04-09-2003', N'CF4TLPI9',0,'09-24-2015','04-27-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (20, N'D53', N'Roderick', N'Riddle','06-25-1999', N'UIVLMPNA4LWG9PW47945V8DE7IVWBJS3UFFRYL57VYIF7E3Q8PDFE3CL4HE4',1,'08-26-2015','07-22-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (21, N'D89', N'Donnell', N'Brewer','09-14-2000', N'RZKSSMUA46L',0,'01-02-2016','10-12-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (22, N'D89', N'Edwin', N'Mc Millan','06-04-1991', N'WAXPY7SF5OL5CPR3TMH71D4YXMES8F3JSBHTFW69LOP2DEG3VQGIOE3J5YSCT06PL2D',0,'12-26-2015','06-05-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (23, N'D96', N'Erich', N'Flowers','02-19-2009', N'7YOXG7LCN1KI5AWIZLUD8YNG4UGLI0HB1GWX2J1HTQV4D96I3OPZ70R9A7TMQZTNJ9HPEZFFJC',1,'04-18-2015','03-03-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (24, N'D22', N'Irma', N'Ayers','03-16-1994', N'H2J3UNYIUAI41OMMVQERTX8K4RG338AGUG',0,'04-05-2015','04-01-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (25, N'D6 ', N'Sophia', N'Erickson','10-22-2001', N'7R4YYRHZC15G1RCKP4LPKTYZ27UEL029KEFVRRGZCYWJZBEBROKB9Q',0,'12-05-2015','11-16-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (26, N'D57', N'Kisha', N'Wood','11-09-2008', N'DT5VRX3DCZVVNCHTYOLDMX',1,'10-22-2015','11-17-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (27, N'D96', N'Quentin', N'Beltran','04-11-2010', N'ZRSINXGRZUO21LVO29KJJ3FRZ9VMMOC3FE54YEGFV8W',1,'06-10-2015','04-17-2010')

